numero_foto,nombre,precio,seccion,categoria,disponible,descripcion,imagen_url
47,Tulipanes Rosados,$222.000,Amor y Amistad,Tulipanes,Sí,"Ramo de 6 tulipanes rosados con eucalipto y flor nube, envuelto en papel celeste con lazo rosa. Delicado, fresco y diferente a las rosas de siempre.",https://florescucuta.dondeseria.com/assets/flores_cucuta_47.webp
48,Flower World Rojo,$170.000,Amor y Amistad,Rosas,Sí,"Bolsa floral con rosas rojas, claveles, hipérico, eucalipto y flor nube. Se regala, se lleva y se luce en cualquier mesa.",https://florescucuta.dondeseria.com/assets/flores_cucuta_48.webp
59,Dos Docenas de Amor,$150.000,Amor y Amistad,Rosas,Sí,"Ramo de 24 rosas rojas con perlas y mariposas doradas, envuelto en papel blanco con detalles “Love”. El gesto clásico que nunca falla.",https://florescucuta.dondeseria.com/assets/flores_cucuta_59.webp
60,Sesenta Rosas,$250.000,Amor y Amistad,Rosas,Sí,"Ramo de 60 rosas rojas con flor nube, envuelto en papel negro con borde dorado. Impacto total para un amor en grande.",https://florescucuta.dondeseria.com/assets/flores_cucuta_60.webp
63,Rosas y Claveles,$170.000,Amor y Amistad,Rosas,Sí,"Ramo de 24 rosas rojas con claveles rosados y eucalipto, envuelto en papel rosa con borde plateado y tarjeta para tu mensaje. Romántico, abundante y lleno de contraste.",https://florescucuta.dondeseria.com/assets/flores_cucuta_63.webp
64,Dulce Despertar,$147.000,Amor y Amistad,Desayunos,Sí,"Una deliciosa bandeja que combina lo dulce y lo salado: suaves wafles con frutas frescas, sándwich de jamón, queso y lechuga, jugo natural de naranja y chocolisto cremoso. Acompañan copa de yogur griego con frutas y granola, mix de uvas, brownie, jamón, queso y un Ferrero Rocher.",https://florescucuta.dondeseria.com/assets/flores_cucuta_64.webp
65,Romance en Bandeja,$265.000,Amor y Amistad,Desayunos,Sí,"Bandeja premium con ensalada de frutas con crema de leche, wraps de pollo, jamón, queso y lechuga, mini arepas con queso o salchicha, bebida a elección (café o chocolisto), soda Hatsu y postre casero. Incluye hermoso jarrón de rosas rojas y globo personalizado.",https://florescucuta.dondeseria.com/assets/flores_cucuta_65.webp
66,Experiencia Dulce,$180.000,Amor y Amistad,Desayunos,Sí,"Bandeja deliciosa y equilibrada con suaves wafles cubiertos de frutas frescas, wraps de pollo, jamón, queso y lechuga, copa de yogur griego con frutas y granola, brownie con frutos secos, jugo natural de naranja y chocolisto cremoso.",https://florescucuta.dondeseria.com/assets/flores_cucuta_66.webp
49,Mini Sol Eterno,$53.000,Flores Amarillas,Flores Eternas,Sí,"Mini ramo de 7 rosas eternas amarillas con perlas y mariposa dorada, envuelto en papel blanco con lazo dorado. Pequeño, duradero y perfecto para el 21 de septiembre.",https://florescucuta.dondeseria.com/assets/flores_cucuta_49.webp
50,24 Rosas Amarillas,$180.000,Flores Amarillas,Rosas,Sí,"Ramo de 24 rosas amarillas con eucalipto y perlas, envuelto en papel celeste con lazo dorado. Luz y buena energía para quien te alegra la vida.",https://florescucuta.dondeseria.com/assets/flores_cucuta_50.webp
51,Docena Eterna Dorada,$90.000,Flores Amarillas,Flores Eternas,Sí,"12 rosas eternas en tono amarillo dorado con perlas y mariposa, en papel blanco con lazo dorado. Un sol que no se marchita.",https://florescucuta.dondeseria.com/assets/flores_cucuta_51.webp
52,Tulipanes Amarillos,Desde $148.000,Flores Amarillas,Tulipanes,Sí,"Ramo de tulipanes amarillos disponible desde 4 unidades, con flor nube y papel rosado. Frescura y luz para el Día de las Flores Amarillas.",https://florescucuta.dondeseria.com/assets/flores_cucuta_52.webp
53,Sol y Rosas,$318.000,Flores Amarillas,Girasoles,Sí,"10 girasoles con 50 rosas en tonos rosa y blanco, envueltos en papel rosa con borde dorado. Un arreglo enorme para una ocasión enorme.",https://florescucuta.dondeseria.com/assets/flores_cucuta_53.webp
54,Docena Amarilla,$140.000,Flores Amarillas,Rosas,Sí,"Ramo de 12 rosas amarillas rodeadas de flor nube, en papel crema con lazo dorado. Alegría en su forma más clásica.",https://florescucuta.dondeseria.com/assets/flores_cucuta_54.webp
55,Tres Soles,$130.000,Flores Amarillas,Girasoles,Sí,"Ramo de 3 girasoles con flor nube, envuelto en papel lila con lazo dorado. Alegría pura en un tamaño ideal para sorprender.",https://florescucuta.dondeseria.com/assets/flores_cucuta_55.webp
56,Girasol entre Rosas,$340.000,Flores Amarillas,Girasoles,Sí,"60 rosas en tonos amarillo y blanco con un girasol en el centro y manzanilla, en papel dorado. Un diseño de lujo para quien lo merece todo.",https://florescucuta.dondeseria.com/assets/flores_cucuta_56.webp
57,Girasoles y Siempreviva,$95.000,Flores Amarillas,Girasoles,Sí,"Ramo de 3 girasoles con flor siempreviva en tono lila, envuelto en papel blanco. Colorido, fresco y a muy buen precio.",https://florescucuta.dondeseria.com/assets/flores_cucuta_57.webp
58,Seis Girasoles,$145.000,Flores Amarillas,Girasoles,Sí,"Ramo de 6 girasoles con flor nube, envuelto en papel crema con tarjeta Duquesa. Grande, radiante y listo para alegrar el día.",https://florescucuta.dondeseria.com/assets/flores_cucuta_58.webp
61,Corazón Dorado,$103.000,Flores Amarillas,Flores Eternas,Sí,"Caja corazón con rosas eternas amarillas, mariposa dorada y 9 Ferrero Rocher, con lazo amarillo. Un detalle que dura y endulza.",https://florescucuta.dondeseria.com/assets/flores_cucuta_61.webp
62,Girasoles Rosé,$90.000,Flores Amarillas,Girasoles,Sí,"Ramo de 3 girasoles con claveles rosados, rosas durazno, flor nube y eucalipto, envuelto en papel rosa con lazo. Alegría y ternura en un solo detalle.",https://florescucuta.dondeseria.com/assets/flores_cucuta_62.webp
27,Ternura Kitty,$520.000,Más Arreglos,Especiales,Sí,"Arreglo escultórico en forma de Hello Kitty con crisantemos blancos, moño de rosas rosadas y detalles en rosas amarillas. Una pieza única para sorprender de verdad.",https://florescucuta.dondeseria.com/assets/flores_cucuta_27.webp
32,Jardín Encantado,$545.000,Más Arreglos,Especiales,Sí,"Caja rosa con orquídeas cymbidium, lirios naranjas, girasoles, gerberas y rosas lavanda entre hortensias y claveles. Color y sofisticación en gran formato.",https://florescucuta.dondeseria.com/assets/flores_cucuta_32.webp
35,Noche Estrellada,$160.000,Más Arreglos,Especiales,Sí,Ramo inspirado en “La Noche Estrellada” de Van Gogh: hortensias y rosas azules con crisantemos amarillos y lámina de la obra. Arte que florece.,https://florescucuta.dondeseria.com/assets/flores_cucuta_35.webp
28,Amor de 200 Rosas,$820.000,Amor y Amistad,Rosas,Sí,"200 rosas rojas coronadas con iniciales personalizadas en flor nube, envueltas en papel negro. El gesto más grande que puedes regalar.",https://florescucuta.dondeseria.com/assets/flores_cucuta_28.webp
29,Fuego Silvestre,$360.000,Más Arreglos,Rosas,Sí,"Ramo rojo con rosas, gerberas, claveles y astromelias, envuelto en papel blanco. Intensidad y elegancia para una ocasión inolvidable.",https://florescucuta.dondeseria.com/assets/flores_cucuta_29.webp
30,Corazón Ferrero,$650.000,Más Arreglos,Rosas,Sí,"Corazón con 33 Ferrero Rocher al centro, 52 rosas rojas y billetes decorativos a elección. Precio base del ramo; el dinero se ajusta a tu gusto.",https://florescucuta.dondeseria.com/assets/flores_cucuta_30.webp
31,Ruta de Campeón,$167.000,Más Arreglos,Rosas,Sí,12 rosas rojas con flor nube y 5 carritos Hot Wheels. El regalo perfecto para los amantes de los autos.,https://florescucuta.dondeseria.com/assets/flores_cucuta_31.webp
33,Cerezo Rojo,$265.000,Más Arreglos,Rosas,Sí,"60 rosas rojas con cerezas y moño rosado, envueltas en tul beige. Pasión y dulzura en una sola presentación.",https://florescucuta.dondeseria.com/assets/flores_cucuta_33.webp
34,Nube Pastel,$232.000,Más Arreglos,Rosas,Sí,"36 rosas con mini rosas y claveles en tonos rosa, amarillo y pastel, en papel lila. Ternura y frescura en cada pétalo.",https://florescucuta.dondeseria.com/assets/flores_cucuta_34.webp
,Despertar de Primavera,Desde $148.000,Más Arreglos,Tulipanes,Sí,"Bouquet de tulipanes en 4, 6 o 10 unidades, de un solo color o combinados. Elegante y versátil para cualquier ocasión.",https://florescucuta.dondeseria.com/ofertas/imagenes/tulipanes/tulipanes_amarillos.webp
,Cápsula de Eternidad,$53.000,Más Arreglos,Flores Eternas,Sí,Mini ramo de 7 rosas eternas con perlas y mariposas decorativas. Disponible en varios colores.,https://florescucuta.dondeseria.com/assets/mini_ramo_eternas.webp
,Legado Inmortal,$145.000,Más Arreglos,Flores Eternas,Sí,Bouquet de 20 rosas eternas con malla de perlas y mariposas doradas. Incluye listón y mensaje personalizado.,https://florescucuta.dondeseria.com/assets/bouquet_eternas.webp
,Imperio Eterno,$220.000,Más Arreglos,Flores Eternas,Sí,Bouquet de 34 rosas eternas con perlas y mariposas. Incluye moño y mensaje especial.,https://florescucuta.dondeseria.com/assets/bouquet_eternas_grandes.webp
,Celebración de Vida,$140.000,Más Arreglos,Rosas,Sí,Bouquet de 20 rosas frescas con eucalipto en base que las mantiene radiantes. Incluye tarjeta personalizada.,https://florescucuta.dondeseria.com/ofertas/imagenes/ramo_bouquets/ramo_flores_cumpleanos.webp
,Juramento Sagrado,$155.000,Más Arreglos,Rosas,Sí,Bouquet de 18 rosas frescas con follajes y listón decorativo. Diseño delicado para el día más especial.,https://florescucuta.dondeseria.com/ofertas/imagenes/ramo_bouquets/ramos_novias_naturales.webp
,Coronación de Princesa,$255.000,Más Arreglos,Rosas,Sí,"48 rosas frescas rodeadas de flor nube, con corona dorada y listón con mensaje. Perfecto para los 15 años.",https://florescucuta.dondeseria.com/ofertas/imagenes/ramo_bouquets/ramo_flores_quinceaneras.webp
,Arsenal Completo,$177.500,Más Arreglos,Rosas,Sí,"Rosas frescas, flor nube y 11 Ferrero Rocher en base elegante con lazo dorado. El detalle que cubre todas las expectativas.",https://florescucuta.dondeseria.com/assets/amoryamistad/amoryamistad2.webp
,Alegría Multicolor,$60.000,Más Arreglos,Cumpleaños,Sí,Bouquet de astromelias frescas con base de oasis y tarjeta personalizada. Color y frescura que duran varios días.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos5.webp
,Monumento de Amor,$465.000,Más Arreglos,Rosas,Sí,110 rosas en forma de corazón con mensaje en listón y 2 globos de helio. Una declaración imposible de olvidar.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos1.webp
,Estrella Resplandeciente,$60.000,Más Arreglos,Cumpleaños,Sí,Bouquet de claveles de larga duración con tarjeta personalizada. Ideal para celebrar años de amistad.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos6.webp
,Sinfonía Dorada,$280.000,Más Arreglos,Rosas,Sí,56 rosas con un girasol radiante y manzanilla. Elegancia y felicidad en un solo ramo.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos2.webp
,Nube de Celebración,$255.000,Más Arreglos,Rosas,Sí,52 rosas frescas con flor nube y moño decorativo. Sofisticación pura para celebrar con estilo.,https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos3.webp
,Esencia de Felicidad,$160.000,Más Arreglos,Rosas,Sí,"20 rosas frescas en arreglo clásico con tarjeta personalizada. Afecto directo al corazón, sin complicaciones.",https://florescucuta.dondeseria.com/assets/cumpleanos/cumpleanos4.webp
,Just For You,$89.000,Más Arreglos,Detalles,Sí,Caja con rosas artificiales de alta calidad y un globo con mensaje especial. Un detalle que dura meses impecable.,https://florescucuta.dondeseria.com/assets/dia_madres/flores25.webp
,Detalle Natural,$86.000,Más Arreglos,Detalles,Sí,"Flores naturales acompañadas de dos Ferrero Rocher. Frescura, color y dulzura en un solo regalo.",https://florescucuta.dondeseria.com/assets/dia_madres/flores27.webp
,Eternidad Floral,$110.000,Más Arreglos,Detalles,Sí,Detalle de flores artificiales de alta calidad y larga duración. Un recuerdo elegante para conservar.,https://florescucuta.dondeseria.com/assets/dia_madres/flores28.webp
,Sol Radiante,$480.000,Más Arreglos,Girasoles,Sí,"Caja blanca con girasoles, rosas amarillas, crisantemos, claveles y eucalipto. Una declaración de cariño en gran formato.",https://florescucuta.dondeseria.com/assets/dia_madres/flores29.webp
,Elegancia Rosada,$200.000,Más Arreglos,Cajas,Sí,"Caja redonda rosa con hortensias, rosas y crisantemos en tonos pastel. Romántico, femenino y elegante.",https://florescucuta.dondeseria.com/assets/dia_madres/flores33.webp
,Reina del Sol,$450.000,Más Arreglos,Girasoles,Sí,"Bouquet con varios girasoles y rosas rojas, papel decorativo y listón blanco con inscripción dorada. Un homenaje monumental.",https://florescucuta.dondeseria.com/assets/dia_madres/flores38.webp
25,Romance Duquesa,$165.000,OCULTO (foto 1–26),Rosas,No (oculto temporalmente),"Bolsa Duquesa Floral “Flower World” en dos versiones: rosas rojas con claveles e hipérico, o rosas rosadas con lisianthus. Presentación premium con paniculata y eucalipto.",https://florescucuta.dondeseria.com/assets/flores_cucuta_25.webp
18,Despertar de Alegría,$95.000,OCULTO (foto 1–26),Gerberas,No (oculto temporalmente),Ramo de 10 gerberas con tarjeta o mensaje personalizado. Color y alegría al instante.,https://florescucuta.dondeseria.com/assets/flores_cucuta_18.webp
2,Fusión Perfecta,$227.500,OCULTO (foto 1–26),Rosas,No (oculto temporalmente),Ramo de 36 rosas y 6 girasoles con tarjeta personalizada. Elegancia y energía en un solo ramo.,https://florescucuta.dondeseria.com/assets/flores_cucuta_2.webp
17,Garantía de Amor,$102.500,OCULTO (foto 1–26),Rosas,No (oculto temporalmente),Ramo de 12 rosas con tarjeta o mensaje personalizado. El clásico que siempre funciona.,https://florescucuta.dondeseria.com/assets/flores_cucuta_17.webp
21,Conquista Definitiva,$165.000,OCULTO (foto 1–26),Rosas,No (oculto temporalmente),Ramo de 24 rosas y claveles con tarjeta personalizada. Para dejar claro lo que sientes.,https://florescucuta.dondeseria.com/assets/flores_cucuta_21.webp
1,Obra Maestra,$265.000,OCULTO (foto 1–26),Rosas,No (oculto temporalmente),Ramo de 60 rosas y claveles con tarjeta personalizada. Abundancia que impresiona.,https://florescucuta.dondeseria.com/assets/flores_cucuta_1.webp
23,Vitamina Emocional,$110.000,OCULTO (foto 1–26),Girasoles,No (oculto temporalmente),Ramo de 4 girasoles con tarjeta o mensaje personalizado. Alegría garantizada.,https://florescucuta.dondeseria.com/assets/flores_cucuta_23.webp
24,Guardián del Corazón,$275.000,OCULTO (foto 1–26),Con Peluche,No (oculto temporalmente),"Osito de 25 cm en rosas de foamy dentro de caja de acetato, con tarjeta y 3 globos de helio. Un detalle que perdura.",https://florescucuta.dondeseria.com/assets/flores_cucuta_24.webp
26,Reflejo de Amor,$212.000,OCULTO (foto 1–26),Rosas,No (oculto temporalmente),Arreglo circular de rosas rojas alrededor de un espejo grabado “Eres la mejor mamá”. Elegancia con un mensaje eterno.,https://florescucuta.dondeseria.com/assets/flores_cucuta_26.webp
