nombre,precio,categoria,disponible,descripcion,imagen_url
Reflejo de Amor,"$212,000",Detalles Especiales,No,"Espectacular arreglo circular de rosas rojas frescas rodeando un espejo grabado con la frase ""Eres la mejor mamá"". Un detalle único que combina elegancia, romance y un mensaje eterno para una persona muy especial.",https://florescucuta.dondeseria.com/assets/flores_cucuta_26.webp
Reina del Sol,"$450,000",Detalles Especiales,Sí,"Espectacular bouquet con varios girasoles radiantes y rosas rojas, envuelto en papel decorativo con un listón blanco con inscripción dorada. Un homenaje monumental para una persona muy importante en tu vida.",https://florescucuta.dondeseria.com/assets/dia_madres/flores38.webp
Kit Amor Propio,"$91,000",Detalles,Sí,"Set de balaca y muñequeras, parches anti acné, 3 pomos para polvos, mascarilla velo, pañitos para rostro, parche de colágeno con niacinamida para ojeras y colágeno para labios. Un regalo de autocuidado para consentir a quien más quieres.",https://florescucuta.dondeseria.com/assets/flores_cucuta_36.webp
Oso de Rosas,"$275,000",Con Peluche,Sí,"Oso de 30 cm elaborado en rosas, presentado en caja de acetato con lazo rojo y acompañado de 2 globos de helio. Un detalle que no se marchita y llena de emoción cualquier espacio.",https://florescucuta.dondeseria.com/assets/flores_cucuta_37.webp
Abrazo Eterno,"$160,000",Flores Eternas,Sí,"21 rosas eternas en tonos rosa y dorado con mariposas decorativas y un tierno peluche en el centro. Dura para siempre, igual que lo que sientes.",https://florescucuta.dondeseria.com/assets/flores_cucuta_38.webp
Ternura Eterna,"$100,000",Flores Eternas,Sí,11 rosas eternas rosadas y doradas con mariposas y un peluche de oso. El detalle ideal para decir “te quiero” sin gastar de más.,https://florescucuta.dondeseria.com/assets/flores_cucuta_39.webp
Dulce Docena,"$122,000",Rosas,Sí,"Ramo de 12 rosas rojas con flor nube y 3 Ferrero Rocher, envuelto en papel blanco con lazo rojo. Clásico, dulce y directo al corazón.",https://florescucuta.dondeseria.com/assets/flores_cucuta_40.webp
10 Razones para Amarte,"$130,000",Rosas,Sí,"Caja corazón negra con 4 rosas rojas, flor nube, 12 Ferrero Rocher y los mensajes de la canción en su interior. Cada razón viene con una flor y un dulce.",https://florescucuta.dondeseria.com/assets/flores_cucuta_41.webp
Corazón Feliz Día,"$175,000",Rosas,Sí,35 rosas rojas dispuestas en forma de corazón con perlas y topper dorado “Feliz Día”. Para que lo vea y sonría antes de leer la tarjeta.,https://florescucuta.dondeseria.com/assets/flores_cucuta_42.webp
Corazón Ferrero Mixto,"$145,000",Rosas,Sí,"Caja corazón con rosas rojas y rosadas, flor nube y 11 Ferrero Rocher, con lazo dorado. Flores y chocolate en una sola sorpresa.",https://florescucuta.dondeseria.com/assets/flores_cucuta_43.webp
Fresas & Rosas,"$66,000",Detalles,Sí,"Caja portable con fresas con crema en vaso de 12 onzas, rosas rojas frescas y eucalipto. Un antojo romántico, perfecto para sorprender en la oficina.",https://florescucuta.dondeseria.com/assets/flores_cucuta_44.webp
Desayuno Sorpresa,"$110,000",Desayunos,Sí,"Bandeja con 2 sándwiches de jamón y queso con vegetales, ensalada de frutas con yogurt griego, 3 Ferrero Rocher, brownie y jugo de naranja o Chocolisto. La forma más rica de empezar el día juntos.",https://florescucuta.dondeseria.com/assets/flores_cucuta_45.webp
Cerezas de Amor,"$240,000",Rosas,Sí,"Ramo de 60 rosas rojas decorado con cerezas, perlas y moño rosado, envuelto en papel crema. Abundante, romántico y para dejar sin palabras.",https://florescucuta.dondeseria.com/assets/flores_cucuta_46.webp
Tulipanes Rosados,"$222,000",Tulipanes,Sí,"Ramo de 6 tulipanes rosados con eucalipto y flor nube, envuelto en papel celeste con lazo rosa. Delicado, fresco y diferente a las rosas de siempre.",https://florescucuta.dondeseria.com/assets/flores_cucuta_47.webp
Flower World Rojo,"$170,000",Rosas,Sí,"Bolsa floral con rosas rojas, claveles, hipérico, eucalipto y flor nube. Se regala, se lleva y se luce en cualquier mesa.",https://florescucuta.dondeseria.com/assets/flores_cucuta_48.webp
Dos Docenas de Amor,"$150,000",Rosas,Sí,"Ramo de 24 rosas rojas con perlas y mariposas doradas, envuelto en papel blanco con detalles “Love”. El gesto clásico que nunca falla.",https://florescucuta.dondeseria.com/assets/flores_cucuta_59.webp
Sesenta Rosas,"$250,000",Rosas,Sí,"Ramo de 60 rosas rojas con flor nube, envuelto en papel negro con borde dorado. Impacto total para un amor en grande.",https://florescucuta.dondeseria.com/assets/flores_cucuta_60.webp
Mini Sol Eterno,"$53,000",Flores Eternas,Sí,"Mini ramo de 7 rosas eternas amarillas con perlas y mariposa dorada, envuelto en papel blanco con lazo dorado. Pequeño, duradero y perfecto para el 21 de septiembre.",https://florescucuta.dondeseria.com/assets/flores_cucuta_49.webp
24 Rosas Amarillas,"$180,000",Rosas,Sí,"Ramo de 24 rosas amarillas con eucalipto y perlas, envuelto en papel celeste con lazo dorado. Luz y buena energía para quien te alegra la vida.",https://florescucuta.dondeseria.com/assets/flores_cucuta_50.webp
Docena Eterna Dorada,"$90,000",Flores Eternas,Sí,"12 rosas eternas en tono amarillo dorado con perlas y mariposa, en papel blanco con lazo dorado. Un sol que no se marchita.",https://florescucuta.dondeseria.com/assets/flores_cucuta_51.webp
Tulipanes Amarillos,"Desde $148,000",Tulipanes,Sí,"Ramo de tulipanes amarillos disponible desde 4 unidades, con flor nube y papel rosado. Frescura y luz para el Día de las Flores Amarillas.",https://florescucuta.dondeseria.com/assets/flores_cucuta_52.webp
Sol y Rosas,"$318,000",Girasoles,Sí,"10 girasoles con 50 rosas en tonos rosa y blanco, envueltos en papel rosa con borde dorado. Un arreglo enorme para una ocasión enorme.",https://florescucuta.dondeseria.com/assets/flores_cucuta_53.webp
Docena Amarilla,"$140,000",Rosas,Sí,"Ramo de 12 rosas amarillas rodeadas de flor nube, en papel crema con lazo dorado. Alegría en su forma más clásica.",https://florescucuta.dondeseria.com/assets/flores_cucuta_54.webp
Tres Soles,"$130,000",Girasoles,Sí,"Ramo de 3 girasoles con flor nube, envuelto en papel lila con lazo dorado. Alegría pura en un tamaño ideal para sorprender.",https://florescucuta.dondeseria.com/assets/flores_cucuta_55.webp
Girasol entre Rosas,"$340,000",Girasoles,Sí,"60 rosas en tonos amarillo y blanco con un girasol en el centro y manzanilla, en papel dorado. Un diseño de lujo para quien lo merece todo.",https://florescucuta.dondeseria.com/assets/flores_cucuta_56.webp
Girasoles y Siempreviva,"$95,000",Girasoles,Sí,"Ramo de 3 girasoles con flor siempreviva en tono lila, envuelto en papel blanco. Colorido, fresco y a muy buen precio.",https://florescucuta.dondeseria.com/assets/flores_cucuta_57.webp
Seis Girasoles,"$145,000",Girasoles,Sí,"Ramo de 6 girasoles con flor nube, envuelto en papel crema con tarjeta Duquesa. Grande, radiante y listo para alegrar el día.",https://florescucuta.dondeseria.com/assets/flores_cucuta_58.webp
Corazón Dorado,"$103,000",Flores Eternas,Sí,"Caja corazón con rosas eternas amarillas, mariposa dorada y 12 Ferrero Rocher, con lazo amarillo. Un detalle que dura y endulza.",https://florescucuta.dondeseria.com/assets/flores_cucuta_61.webp
